bloque,implementacion,metodo,escenario,semilla,n_inicial,n_final,k,repeticion,capacidad_antes,capacidad_despues,crecimiento,total_ns,ns_por_operacion,checksum
colas,ColaEnlazada,isEmpty,no_vacia,20260932,10,10,50000,7,-1,-1,false,0,0.000,0
colas,ColaEnlazada,isEmpty,no_vacia,20260932,10,10,50000,8,-1,-1,false,0,0.000,0
colas,ColaEnlazada,isEmpty,no_vacia,20260932,10,10,50000,9,-1,-1,false,0,0.000,0
colas,ColaEnlazada,isEmpty,no_vacia,20260932,10,10,50000,10,-1,-1,false,0,0.000,0
colas,ColaEnlazada,delete,frente,20260932,10,9,2000,1,-1,-1,false,88000,44.000,2000
colas,ColaEnlazada,delete,frente,20260932,10,9,2000,2,-1,-1,false,88500,44.250,2000
colas,ColaEnlazada,delete,frente,20260932,10,9,2000,3,-1,-1,false,82100,41.050,2000
colas,ColaEnlazada,delete,frente,20260932,10,9,2000,4,-1,-1,false,82700,41.350,2000
colas,ColaEnlazada,delete,frente,20260932,10,9,2000,5,-1,-1,false,76900,38.450,2000
colas,ColaEnlazada,delete,frente,20260932,10,9,2000,6,-1,-1,false,76700,38.350,2000
colas,ColaEnlazada,delete,frente,20260932,10,9,2000,7,-1,-1,false,81400,40.700,2000
colas,ColaEnlazada,delete,frente,20260932,10,9,2000,8,-1,-1,false,77100,38.550,2000
colas,ColaEnlazada,delete,frente,20260932,10,9,2000,9,-1,-1,false,79600,39.800,2000
colas,ColaEnlazada,delete,frente,20260932,10,9,2000,10,-1,-1,false,73400,36.700,2000
colas,ColaEnlazada,delete,medio,20260932,10,9,2000,1,-1,-1,false,119400,59.700,2000
colas,ColaEnlazada,delete,medio,20260932,10,9,2000,2,-1,-1,false,119400,59.700,2000
colas,ColaEnlazada,delete,medio,20260932,10,9,2000,3,-1,-1,false,119300,59.650,2000
colas,ColaEnlazada,delete,medio,20260932,10,9,2000,4,-1,-1,false,119200,59.600,2000
colas,ColaEnlazada,delete,medio,20260932,10,9,2000,5,-1,-1,false,119600,59.800,2000
colas,ColaEnlazada,delete,medio,20260932,10,9,2000,6,-1,-1,false,119300,59.650,2000
colas,ColaEnlazada,delete,medio,20260932,10,9,2000,7,-1,-1,false,122800,61.400,2000
colas,ColaEnlazada,delete,medio,20260932,10,9,2000,8,-1,-1,false,118700,59.350,2000
colas,ColaEnlazada,delete,medio,20260932,10,9,2000,9,-1,-1,false,119000,59.500,2000
colas,ColaEnlazada,delete,medio,20260932,10,9,2000,10,-1,-1,false,119300,59.650,2000
colas,ColaEnlazada,delete,final,20260932,10,9,2000,1,-1,-1,false,317000,158.500,2000
colas,ColaEnlazada,delete,final,20260932,10,9,2000,2,-1,-1,false,351600,175.800,2000
colas,ColaEnlazada,delete,final,20260932,10,9,2000,3,-1,-1,false,314300,157.150,2000
colas,ColaEnlazada,delete,final,20260932,10,9,2000,4,-1,-1,false,318300,159.150,2000
colas,ColaEnlazada,delete,final,20260932,10,9,2000,5,-1,-1,false,99600,49.800,2000
colas,ColaEnlazada,delete,final,20260932,10,9,2000,6,-1,-1,false,95800,47.900,2000
colas,ColaEnlazada,delete,final,20260932,10,9,2000,7,-1,-1,false,96300,48.150,2000
colas,ColaEnlazada,delete,final,20260932,10,9,2000,8,-1,-1,false,94600,47.300,2000
colas,ColaEnlazada,delete,final,20260932,10,9,2000,9,-1,-1,false,121000,60.500,2000
colas,ColaEnlazada,delete,final,20260932,10,9,2000,10,-1,-1,false,120500,60.250,2000
colas,ColaEnlazada,delete,ausente,20260932,10,10,2000,1,-1,-1,false,115100,57.550,0
colas,ColaEnlazada,delete,ausente,20260932,10,10,2000,2,-1,-1,false,115900,57.950,0
colas,ColaEnlazada,delete,ausente,20260932,10,10,2000,3,-1,-1,false,115300,57.650,0
colas,ColaEnlazada,delete,ausente,20260932,10,10,2000,4,-1,-1,false,115500,57.750,0
colas,ColaEnlazada,delete,ausente,20260932,10,10,2000,5,-1,-1,false,114400,57.200,0
colas,ColaEnlazada,delete,ausente,20260932,10,10,2000,6,-1,-1,false,115100,57.550,0
colas,ColaEnlazada,delete,ausente,20260932,10,10,2000,7,-1,-1,false,115400,57.700,0
colas,ColaEnlazada,delete,ausente,20260932,10,10,2000,8,-1,-1,false,115200,57.600,0
colas,ColaEnlazada,delete,ausente,20260932,10,10,2000,9,-1,-1,false,115800,57.900,0
colas,ColaEnlazada,delete,ausente,20260932,10,10,2000,10,-1,-1,false,120000,60.000,0
pilas,PilaArreglo,push,sin_redimensionamiento,20261022,100,101,2000,1,101,101,false,15900,7.950,-4294967296000
pilas,PilaArreglo,push,sin_redimensionamiento,20261022,100,101,2000,2,101,101,false,10500,5.250,-4294967296000
pilas,PilaArreglo,push,sin_redimensionamiento,20261022,100,101,2000,3,101,101,false,13800,6.900,-4294967296000
pilas,PilaArreglo,push,sin_redimensionamiento,20261022,100,101,2000,4,101,101,false,10000,5.000,-4294967296000
pilas,PilaArreglo,push,sin_redimensionamiento,20261022,100,101,2000,5,101,101,false,17800,8.900,-4294967296000
pilas,PilaArreglo,push,sin_redimensionamiento,20261022,100,101,2000,6,101,101,false,11000,5.500,-4294967296000
pilas,PilaArreglo,push,sin_redimensionamiento,20261022,100,101,2000,7,101,101,false,12300,6.150,-4294967296000
pilas,PilaArreglo,push,sin_redimensionamiento,20261022,100,101,2000,8,101,101,false,13500,6.750,-4294967296000
pilas,PilaArreglo,push,sin_redimensionamiento,20261022,100,101,2000,9,101,101,false,9800,4.900,-4294967296000
pilas,PilaArreglo,push,sin_redimensionamiento,20261022,100,101,2000,10,101,101,false,10500,5.250,-4294967296000
pilas,PilaArreglo,push,crecimiento_forzado,20261022,100,101,2000,1,100,200,true,240600,120.300,-4294967296000
pilas,PilaArreglo,push,crecimiento_forzado,20261022,100,101,2000,2,100,200,true,205700,102.850,-4294967296000
pilas,PilaArreglo,push,crecimiento_forzado,20261022,100,101,2000,3,100,200,true,323800,161.900,-4294967296000
pilas,PilaArreglo,push,crecimiento_forzado,20261022,100,101,2000,4,100,200,true,203000,101.500,-4294967296000
pilas,PilaArreglo,push,crecimiento_forzado,20261022,100,101,2000,5,100,200,true,187000,93.500,-4294967296000
pilas,PilaArreglo,push,crecimiento_forzado,20261022,100,101,2000,6,100,200,true,179000,89.500,-4294967296000
pilas,PilaArreglo,push,crecimiento_forzado,20261022,100,101,2000,7,100,200,true,201100,100.550,-4294967296000
pilas,PilaArreglo,push,crecimiento_forzado,20261022,100,101,2000,8,100,200,true,186900,93.450,-4294967296000
pilas,PilaArreglo,push,crecimiento_forzado,20261022,100,101,2000,9,100,200,true,187000,93.500,-4294967296000
pilas,PilaArreglo,push,crecimiento_forzado,20261022,100,101,2000,10,100,200,true,179900,89.950,-4294967296000
pilas,PilaArreglo,push,secuencia_amortizada,20261022,0,100,100,1,4,128,multiple,3700,37.000,111
pilas,PilaArreglo,push,secuencia_amortizada,20261022,0,100,100,2,4,128,multiple,3800,38.000,111
pilas,PilaArreglo,push,secuencia_amortizada,20261022,0,100,100,3,4,128,multiple,4000,40.000,111
pilas,PilaArreglo,push,secuencia_amortizada,20261022,0,100,100,4,4,128,multiple,3700,37.000,111
pilas,PilaArreglo,push,secuencia_amortizada,20261022,0,100,100,5,4,128,multiple,3700,37.000,111
pilas,PilaArreglo,push,secuencia_amortizada,20261022,0,100,100,6,4,128,multiple,3700,37.000,111
pilas,PilaArreglo,push,secuencia_amortizada,20261022,0,100,100,7,4,128,multiple,3700,37.000,111
pilas,PilaArreglo,push,secuencia_amortizada,20261022,0,100,100,8,4,128,multiple,3700,37.000,111
pilas,PilaArreglo,push,secuencia_amortizada,20261022,0,100,100,9,4,128,multiple,3700,37.000,111
pilas,PilaArreglo,push,secuencia_amortizada,20261022,0,100,100,10,4,128,multiple,3600,36.000,111
pilas,PilaArreglo,pop,general,20261022,100,99,2000,1,100,100,false,14800,7.400,22000
pilas,PilaArreglo,pop,general,20261022,100,99,2000,2,100,100,false,17200,8.600,22000
pilas,PilaArreglo,pop,general,20261022,100,99,2000,3,100,100,false,18900,9.450,22000
pilas,PilaArreglo,pop,general,20261022,100,99,2000,4,100,100,false,20200,10.100,22000
pilas,PilaArreglo,pop,general,20261022,100,99,2000,5,100,100,false,25800,12.900,22000
pilas,PilaArreglo,pop,general,20261022,100,99,2000,6,100,100,false,21800,10.900,22000
pilas,PilaArreglo,pop,general,20261022,100,99,2000,7,100,100,false,26100,13.050,22000
pilas,PilaArreglo,pop,general,20261022,100,99,2000,8,100,100,false,24800,12.400,22000
pilas,PilaArreglo,pop,general,20261022,100,99,2000,9,100,100,false,29300,14.650,22000
pilas,PilaArreglo,pop,general,20261022,100,99,2000,10,100,100,false,34600,17.300,22000
pilas,PilaArreglo,peek,general,20261022,100,100,50000,1,101,101,false,800,0.016,550000
pilas,PilaArreglo,peek,general,20261022,100,100,50000,2,101,101,false,800,0.016,550000
pilas,PilaArreglo,peek,general,20261022,100,100,50000,3,101,101,false,800,0.016,550000
