bloque,implementacion,metodo,escenario,semilla,n_inicial,n_final,k,capacidad_antes,capacidad_despues,crecimiento,n_efectivo,observaciones,min_ns,q1_ns,mediana_ns,q3_ns,max_ns,iqr_ns,media_ns
colas,ColaEnlazada,size,no_vacia,20260932,10,10,50000,-1,-1,false,10,10,0.014,0.014,0.014,0.014,0.016,0.0,0.0142
colas,ColaEnlazada,size,no_vacia,20261022,100,100,50000,-1,-1,false,100,10,0.014,0.014,0.014,0.014,0.014,0.0,0.014000000000000002
colas,ColaEnlazada,size,no_vacia,20261922,1000,1000,50000,-1,-1,false,1000,10,0.014,0.0145,0.016,0.016,0.016,0.0014999999999999996,0.0154
colas,ColaEnlazada,size,no_vacia,20270922,10000,10000,50000,-1,-1,false,10000,10,0.014,0.016,0.016,0.016,0.036,0.0,0.0178
colas,ColaEnlazada,size,no_vacia,20360922,100000,100000,50000,-1,-1,false,100000,10,0.014,0.014,0.015,0.016,0.018,0.002,0.0152
pilas,PilaArreglo,delete,ausente,20260932,10,10,2000,10,10,false,10,10,33.05,33.0625,33.15,33.15,39.9,0.08749999999999858,33.80499999999999
pilas,PilaArreglo,delete,ausente,20261022,100,100,2000,100,100,false,100,10,32.65,33.0125,34.625,41.0625,134.2,8.049999999999997,49.48
pilas,PilaArreglo,delete,ausente,20261922,1000,1000,200,1000,1000,false,1000,10,516.0,626.5,705.75,863.125,1092.0,236.625,752.15
pilas,PilaArreglo,delete,ausente,20270922,10000,10000,20,10000,10000,false,10000,10,4415.0,4748.75,5100.0,5526.25,8650.0,777.5,5669.5
pilas,PilaArreglo,delete,ausente,20360922,100000,100000,3,100000,100000,false,100000,10,43133.333,44616.666750000004,46333.333,48633.333249999996,56433.333,4016.666499999992,47226.6665
pilas,PilaEnlazada,delete,ausente,20260932,10,10,2000,-1,-1,false,10,10,12.05,12.1625,12.8,14.175,16.6,2.012500000000001,13.469999999999999
pilas,PilaEnlazada,delete,ausente,20261022,100,100,2000,-1,-1,false,100,10,295.3,340.4625,384.82500000000005,402.725,644.4,62.262500000000045,396.84000000000003
