familia,implementacion,metodo_comun,operacion,escenario,semilla,n,k,observaciones,min_ns,q1_ns,mediana_ns,q3_ns,max_ns,iqr_ns,media_ns
queue,ColaArreglo,enqueue,enqueue,general,20270922,10000,2000,10,4.45,4.65,4.75,5.3125,13.2,0.6624999999999996,5.71
queue,ColaArreglo,enqueue,enqueue,general,20360922,100000,2001,10,8.895552,9.08295825,9.395302000000001,9.707645750000001,9.945027,0.6246875000000003,9.385307000000001
queue,ListaSimpleConCola,enqueue,pushBack,general,20260932,10,2000,10,3.7,4.4,12.274999999999999,19.9375,22.75,15.5375,12.495
queue,ListaSimpleConCola,enqueue,pushBack,general,20261022,100,2000,10,7.05,7.887499999999999,9.7,13.0625,15.8,5.175000000000001,10.5
queue,ListaSimpleConCola,enqueue,pushBack,general,20261922,1000,2000,10,9.1,9.325000000000001,9.75,10.2,12.25,0.8749999999999982,9.955
queue,ListaSimpleConCola,enqueue,pushBack,general,20270922,10000,2000,10,5.05,5.675000000000001,5.8,5.9375,6.8,0.2624999999999993,5.8100000000000005
queue,ListaSimpleConCola,enqueue,pushBack,general,20360922,100000,2001,10,9.445277,9.745127,9.9950025,10.294853,12.243878,0.5497259999999997,10.214892500000001
queue,ColaArreglo,front,front,general,20260932,10,20096,10,6.135549,6.14301325,6.157942,6.19401875,6.792396,0.05100549999999959,6.2495023000000005
queue,ColaArreglo,front,front,general,20261022,100,20096,10,2.214371,2.6323645,2.7418389999999997,2.9520797500000002,3.309116,0.31971525000000023,2.7945859
queue,ColaArreglo,front,front,general,20261922,1000,20000,10,2.495,2.57125,2.6,2.71125,2.74,0.14000000000000012,2.627
queue,ColaArreglo,front,front,general,20270922,10000,20000,10,2.175,2.18,2.185,2.19,2.235,0.009999999999999787,2.1925
queue,ColaArreglo,front,front,general,20360922,100000,20000,10,2.11,2.125,2.1325,2.16625,2.225,0.04124999999999979,2.147
queue,ListaSimpleConCola,front,topFront,general,20260932,10,20096,10,2.084992,2.089968,2.097432,2.09992,5.64789,0.009952000000000183,2.6154457
queue,ListaSimpleConCola,front,topFront,general,20261022,100,20096,10,2.119825,2.129777,2.137241,2.179538,2.388535,0.049761000000000166,2.1745621
queue,ListaSimpleConCola,front,topFront,general,20261922,1000,20000,10,2.265,2.2824999999999998,2.295,2.3075,2.395,0.025000000000000355,2.304
queue,ListaSimpleConCola,front,topFront,general,20270922,10000,20000,10,1.985,1.98625,1.99,2.0175,2.08,0.03125,2.0065
queue,ListaSimpleConCola,front,topFront,general,20360922,100000,20000,10,1.92,1.93,1.9575,1.9937500000000001,2.035,0.0637500000000002,1.967
queue,ColaArreglo,isEmpty,isEmpty,general,20260932,10,20096,10,2.040207,2.040207,2.040207,2.052647,4.005772,0.012439999999999785,2.2432324
queue,ColaArreglo,isEmpty,isEmpty,general,20261022,100,20096,10,3.040406,3.24815925,3.3265325,3.398686,3.428543,0.15052675000000004,3.3061306000000004
queue,ColaArreglo,isEmpty,isEmpty,general,20261922,1000,20000,10,1.965,1.97,1.9925,2.0225,2.275,0.05249999999999999,2.0204999999999997
queue,ColaArreglo,isEmpty,isEmpty,general,20270922,10000,20000,10,1.875,1.875,1.8775,1.91375,1.97,0.03875000000000006,1.8965
queue,ColaArreglo,isEmpty,isEmpty,general,20360922,100000,20000,10,1.835,1.86375,1.89,1.9275,1.98,0.06374999999999997,1.8954999999999997
queue,ListaSimpleConCola,isEmpty,isEmpty,general,20260932,10,20096,10,3.66242,3.66242,3.6873009999999997,3.898786,4.184912,0.23636599999999985,3.7893112
queue,ListaSimpleConCola,isEmpty,isEmpty,general,20261022,100,20096,10,3.040406,3.110072,3.1797375,3.2332307499999997,3.299164,0.12315874999999954,3.1707804
queue,ListaSimpleConCola,isEmpty,isEmpty,general,20261922,1000,20000,10,1.975,1.975,1.98,1.9937500000000001,2.08,0.018750000000000044,1.9920000000000002
queue,ListaSimpleConCola,isEmpty,isEmpty,general,20270922,10000,20000,10,1.88,1.885,1.885,1.88875,1.94,0.00374999999999992,1.891
queue,ListaSimpleConCola,isEmpty,isEmpty,general,20360922,100000,20000,10,1.835,1.86375,1.935,1.9825000000000002,2.06,0.11875000000000013,1.9309999999999998
queue,ColaArreglo,size,size,general,20260932,10,20096,10,2.950836,2.9570559999999997,2.9782045000000004,3.06653075,3.314092,0.1094747500000004,3.0319466
queue,ColaArreglo,size,size,general,20261022,100,20096,10,3.164809,3.176005,3.20213,3.224522,3.274283,0.04851699999999992,3.2046178
queue,ColaArreglo,size,size,general,20261922,1000,20000,10,1.87,1.875,1.875,1.875,1.935,0.0,1.8855
queue,ColaArreglo,size,size,general,20270922,10000,20000,10,1.775,1.7762499999999999,1.7825,1.78875,1.835,0.012500000000000178,1.791
queue,ColaArreglo,size,size,general,20360922,100000,20000,10,1.735,1.745,1.7475,1.81,1.86,0.06499999999999995,1.7734999999999999
queue,ListaSimpleConCola,size,size,general,20260932,10,20096,10,2.055135,2.055135,2.055135,2.060111,2.229299,0.0049760000000000915,2.0894702
queue,ListaSimpleConCola,size,size,general,20261022,100,20096,10,2.816481,2.87992625,2.918491,2.949592,3.189689,0.06966574999999997,2.9349124
queue,ListaSimpleConCola,size,size,general,20261922,1000,20000,10,1.875,1.8812499999999999,1.885,1.9,1.94,0.018750000000000044,1.8954999999999997
queue,ListaSimpleConCola,size,size,general,20270922,10000,20000,10,1.78,1.795,1.81,1.83,1.88,0.03500000000000014,1.8165
queue,ListaSimpleConCola,size,size,general,20360922,100000,20000,10,1.735,1.74,1.7875,1.86625,1.885,0.12624999999999997,1.8005
stack,ListaSimpleSinCola,delete,find+erase,base,20260932,10,2000,10,72.85,73.25,73.375,73.975,76.35,0.7249999999999943,73.82000000000001
stack,ListaSimpleSinCola,delete,find+erase,base,20261022,100,2000,10,520.2,554.8375,593.75,698.15,752.2,143.3125,617.7
stack,ListaSimpleSinCola,delete,find+erase,base,20261922,1000,200,10,3123.0,3264.625,3345.5,3415.25,4166.0,150.625,3416.4
stack,ListaSimpleSinCola,delete,find+erase,base,20270922,10000,20,10,27760.0,28130.0,29327.5,29957.5,33180.0,1827.5,29527.5
stack,ListaSimpleSinCola,delete,find+erase,base,20360922,100000,3,10,247700.0,256116.666667,262216.6666665,273775.0,284066.666667,17658.333332999988,263846.66666680004
stack,PilaArreglo,delete,delete,base,20260932,10,2000,10,48.55,91.1125,91.275,91.4875,92.15,0.375,83.0
stack,PilaArreglo,delete,delete,base,20261022,100,2000,10,110.55,110.8125,111.025,111.3125,112.35,0.5,111.14500000000001
stack,PilaArreglo,delete,delete,base,20261922,1000,200,10,1248.5,1392.75,1434.75,1571.875,1658.5,179.125,1459.5
stack,PilaArreglo,delete,delete,base,20270922,10000,20,10,10800.0,11105.0,11252.5,11553.75,12505.0,448.75,11393.5
stack,PilaArreglo,delete,delete,base,20360922,100000,3,10,86233.333333,103416.66666675,107316.66666650001,114608.33333349999,194900.0,11191.666666749996,116460.0
stack,ListaSimpleSinCola,isEmpty,isEmpty,general,20260932,10,20096,10,1.38336,1.384604,1.875995,1.875995,2.204419,0.49139100000000013,1.7122810000000002
stack,ListaSimpleSinCola,isEmpty,isEmpty,general,20261022,100,20096,10,1.970541,1.975518,1.975518,1.975518,1.980494,0.0,1.9760155000000001
stack,ListaSimpleSinCola,isEmpty,isEmpty,general,20261922,1000,20000,10,2.0,2.0124999999999997,2.025,2.0375,2.11,0.025000000000000355,2.0315
stack,ListaSimpleSinCola,isEmpty,isEmpty,general,20270922,10000,20000,10,1.93,1.935,1.935,1.9737500000000001,2.04,0.03875000000000006,1.9565000000000001
stack,ListaSimpleSinCola,isEmpty,isEmpty,general,20360922,100000,20000,10,1.815,1.82125,1.835,1.86125,1.945,0.040000000000000036,1.848
stack,PilaArreglo,isEmpty,isEmpty,general,20260932,10,20096,10,2.015326,2.015326,2.015326,3.26184325,3.926154,1.2465172500000001,2.5557322
stack,PilaArreglo,isEmpty,isEmpty,general,20261022,100,20096,10,1.975518,1.975518,1.980494,1.980494,2.204419,0.004975999999999869,2.0008961
stack,PilaArreglo,isEmpty,isEmpty,general,20261922,1000,20000,10,1.985,1.98625,1.9925000000000002,2.0062499999999996,2.425,0.019999999999999574,2.0469999999999997
stack,PilaArreglo,isEmpty,isEmpty,general,20270922,10000,20000,10,1.93,1.93,1.9325,1.97,1.99,0.040000000000000036,1.9475000000000002
stack,PilaArreglo,isEmpty,isEmpty,general,20360922,100000,20000,10,1.805,1.81,1.8175,1.8475,1.975,0.03749999999999987,1.8399999999999999
stack,ListaSimpleSinCola,peek,topFront,general,20260932,10,20096,10,5.264729,5.27717,5.316978499999999,5.4799465,6.389331,0.2027764999999997,5.5195064
stack,ListaSimpleSinCola,peek,topFront,general,20261022,100,20096,10,2.045183,2.050159,2.050159,2.053891,2.070064,0.0037320000000002906,2.0531447
stack,ListaSimpleSinCola,peek,topFront,general,20261922,1000,20000,10,2.355,2.41875,2.4425,2.4575,2.51,0.03874999999999984,2.441
stack,ListaSimpleSinCola,peek,topFront,general,20270922,10000,20000,10,2.035,2.0475,2.065,2.09875,2.165,0.05125000000000002,2.081
stack,ListaSimpleSinCola,peek,topFront,general,20360922,100000,20000,10,1.955,1.96125,1.98,2.085,5.875,0.12375000000000003,2.3914999999999997
stack,PilaArreglo,peek,peek,general,20260932,10,20096,10,19.695462,19.94177925,20.0189095,20.14580025,23.328025,0.2040210000000009,20.441879
stack,PilaArreglo,peek,peek,general,20261022,100,20096,10,2.224323,2.234275,2.234275,2.234275,2.443272,0.0,2.2556724
stack,PilaArreglo,peek,peek,general,20261922,1000,20000,10,2.545,2.57625,2.58,2.625,2.69,0.04875000000000007,2.5995
stack,PilaArreglo,peek,peek,general,20270922,10000,20000,10,2.195,2.2,2.205,2.2424999999999997,2.27,0.04249999999999954,2.2184999999999997
stack,PilaArreglo,peek,peek,general,20360922,100000,20000,10,2.075,2.09125,2.095,2.1,2.25,0.008750000000000036,2.1100000000000003
stack,ListaSimpleSinCola,pop,popFront,general,20260932,10,2000,10,5.05,6.075,8.075,9.1375,13.6,3.062499999999999,8.129999999999999
stack,ListaSimpleSinCola,pop,popFront,general,20261022,100,2000,10,13.6,15.05,16.975,18.475,28.7,3.4250000000000007,17.59
stack,ListaSimpleSinCola,pop,popFront,general,20261922,1000,2000,10,6.3,6.6625000000000005,6.75,6.875,7.95,0.21249999999999947,6.834999999999999
stack,ListaSimpleSinCola,pop,popFront,general,20270922,10000,2000,10,3.8,3.95,4.1,4.6625,5.35,0.7124999999999995,4.34
stack,ListaSimpleSinCola,pop,popFront,general,20360922,100000,2001,10,9.245377,9.445277,9.495252,9.58270825,10.344828,0.13743124999999878,9.605197200000001
stack,PilaArreglo,pop,pop,general,20260932,10,2000,10,6.45,6.6625000000000005,6.875,6.9375,7.3,0.27499999999999947,6.82
stack,PilaArreglo,pop,pop,general,20261022,100,2000,10,3.85,4.2,4.75,5.6875,9.45,1.4874999999999998,5.345000000000001
stack,PilaArreglo,pop,pop,general,20261922,1000,2000,10,4.55,4.7375,5.025,5.0874999999999995,5.5,0.34999999999999964,4.970000000000001
stack,PilaArreglo,pop,pop,general,20270922,10000,2000,10,3.25,3.3249999999999997,3.45,3.4875,3.95,0.1625000000000001,3.46
stack,PilaArreglo,pop,pop,general,20360922,100000,2001,10,8.395802,8.795602,8.9205395,8.983008250000001,9.145427,0.18740625000000044,8.8805595
stack,ListaSimpleSinCola,push,pushFront,general,20260932,10,2000,10,29.7,33.575,35.525,36.9625,46.9,3.3874999999999957,35.769999999999996
stack,ListaSimpleSinCola,push,pushFront,general,20261022,100,2000,10,9.1,12.425,15.649999999999999,16.2375,22.1,3.8125,14.944999999999999
stack,ListaSimpleSinCola,push,pushFront,general,20261922,1000,2000,10,6.35,6.8625,7.35,7.824999999999999,9.45,0.9624999999999995,7.435
stack,ListaSimpleSinCola,push,pushFront,general,20270922,10000,2000,10,4.45,4.45,4.5,4.625,7.4,0.17499999999999982,4.84
stack,ListaSimpleSinCola,push,pushFront,general,20360922,100000,2001,10,9.445277,9.495252,9.595202,9.995002750000001,10.344828,0.49975075000000047,9.760119800000002
stack,PilaArreglo,push,push,general,20260932,10,2000,10,3.85,6.3125,10.325,11.8375,15.65,5.525,9.725
stack,PilaArreglo,push,push,general,20261022,100,2000,10,3.35,3.8,4.375,4.9,6.8,1.1000000000000005,4.5
stack,PilaArreglo,push,push,general,20261922,1000,2000,10,4.9,5.2125,5.3,5.425,5.6,0.21249999999999947,5.29
stack,PilaArreglo,push,push,general,20270922,10000,2000,10,3.8,3.85,3.9,4.025,4.5,0.17500000000000027,3.97
stack,PilaArreglo,push,push,general,20360922,100000,2001,10,9.245377,9.307845749999998,9.345327,9.43278325,11.994003,0.12493750000000148,9.6701646
stack,ListaSimpleSinCola,size,size,general,20260932,10,20096,10,21.332604,21.4669585,21.593849499999997,21.64361075,21.845143,0.17665225000000007,21.5704617
stack,ListaSimpleSinCola,size,size,general,20261022,100,20096,10,1.925756,1.930732,1.9332205,1.935709,1.940685,0.004977000000000009,1.9327229
stack,ListaSimpleSinCola,size,size,general,20261922,1000,20000,10,2.01,2.0162500000000003,2.025,2.08375,2.99,0.0674999999999999,2.133
stack,ListaSimpleSinCola,size,size,general,20270922,10000,20000,10,1.935,1.94125,1.9725000000000001,2.0675,2.195,0.12624999999999997,2.011
stack,ListaSimpleSinCola,size,size,general,20360922,100000,20000,10,1.795,1.80125,1.805,1.815,1.885,0.013749999999999929,1.8175000000000001
stack,PilaArreglo,size,size,general,20260932,10,20096,10,2.796576,7.9854199999999995,20.854896,21.042744749999997,21.322651,13.057324749999998,15.6429139
stack,PilaArreglo,size,size,general,20261022,100,20096,10,1.866043,1.866043,1.871019,1.875995,1.875995,0.009952000000000183,1.871019
stack,PilaArreglo,size,size,general,20261922,1000,20000,10,1.89,1.895,1.9024999999999999,1.94875,1.995,0.053749999999999964,1.9245
stack,PilaArreglo,size,size,general,20270922,10000,20000,10,1.83,1.83125,1.8375,1.89375,2.145,0.0625,1.8875
stack,PilaArreglo,size,size,general,20360922,100000,20000,10,1.71,1.72125,1.7574999999999998,1.81875,2.49,0.09750000000000014,1.8379999999999999
