implementacion,metodo,escenario,n_anterior,n_actual,factor_n,mediana_anterior_ns,mediana_actual_ns,ratio_tiempo
ListaSimpleSinCola,addAfter,medio_nodo_prelocalizado,10000,100000,10.0,20.0,30.0,1.5
ListaDobleConCola,addBefore,final_nodo_prelocalizado,10,100,10.0,57.0,29.0,0.5087719298245614
ListaDobleConCola,addBefore,final_nodo_prelocalizado,100,1000,10.0,29.0,23.5,0.8103448275862069
ListaDobleConCola,addBefore,final_nodo_prelocalizado,1000,10000,10.0,23.5,15.0,0.6382978723404256
ListaDobleConCola,addBefore,final_nodo_prelocalizado,10000,100000,10.0,15.0,35.0,2.3333333333333335
ListaDobleSinCola,addBefore,final_nodo_prelocalizado,10,100,10.0,32.0,26.0,0.8125
ListaDobleSinCola,addBefore,final_nodo_prelocalizado,100,1000,10.0,26.0,26.5,1.0192307692307692
ListaDobleSinCola,addBefore,final_nodo_prelocalizado,1000,10000,10.0,26.5,25.0,0.9433962264150944
ListaDobleSinCola,addBefore,final_nodo_prelocalizado,10000,100000,10.0,25.0,32.5,1.3
ListaSimpleConCola,addBefore,final_nodo_prelocalizado,10,100,10.0,67.25,123.0,1.828996282527881
ListaSimpleConCola,addBefore,final_nodo_prelocalizado,100,1000,10.0,123.0,1108.0,9.008130081300813
ListaSimpleConCola,addBefore,final_nodo_prelocalizado,1000,10000,10.0,1108.0,10222.5,9.226083032490974
ListaSimpleConCola,addBefore,final_nodo_prelocalizado,10000,100000,10.0,10222.5,104442.5,10.216923453167034
ListaSimpleSinCola,addBefore,final_nodo_prelocalizado,10,100,10.0,63.75,136.25,2.1372549019607843
ListaSimpleSinCola,addBefore,final_nodo_prelocalizado,100,1000,10.0,136.25,1134.0,8.322935779816513
ListaSimpleSinCola,addBefore,final_nodo_prelocalizado,1000,10000,10.0,1134.0,10150.0,8.950617283950617
ListaSimpleSinCola,addBefore,final_nodo_prelocalizado,10000,100000,10.0,10150.0,103965.0,10.242857142857142
ListaDobleConCola,addBefore,inicio_nodo_prelocalizado,10,100,10.0,128.25,28.5,0.2222222222222222
ListaDobleConCola,addBefore,inicio_nodo_prelocalizado,100,1000,10.0,28.5,25.5,0.8947368421052632
ListaDobleConCola,addBefore,inicio_nodo_prelocalizado,1000,10000,10.0,25.5,35.0,1.3725490196078431
ListaDobleConCola,addBefore,inicio_nodo_prelocalizado,10000,100000,10.0,35.0,0.0,0.0
ListaDobleSinCola,addBefore,inicio_nodo_prelocalizado,10,100,10.0,56.25,26.0,0.4622222222222222
ListaDobleSinCola,addBefore,inicio_nodo_prelocalizado,100,1000,10.0,26.0,25.0,0.9615384615384616
