bloque,implementacion,metodo,escenario,semilla,n_inicial,k,observaciones,min_ns,q1_ns,mediana_ns,q3_ns,max_ns,iqr_ns,media_ns
listas,ListaSimpleConCola,addBefore,final_nodo_prelocalizado,20260931,10,200,10,65.0,65.5,67.25,69.375,83.5,3.875,70.0
listas,ListaSimpleConCola,addBefore,final_nodo_prelocalizado,20261021,100,200,10,119.0,122.125,123.0,124.5,128.5,2.375,123.45
listas,ListaSimpleConCola,addBefore,final_nodo_prelocalizado,20261921,1000,100,10,1095.0,1098.25,1108.0,1129.25,1151.0,31.0,1114.2
listas,ListaSimpleConCola,addBefore,final_nodo_prelocalizado,20270921,10000,20,10,10095.0,10140.0,10222.5,10225.0,10285.0,85.0,10192.5
listas,ListaSimpleConCola,addBefore,final_nodo_prelocalizado,20360921,100000,20,10,103480.0,104116.25,104442.5,105068.75,140715.0,952.5,108130.5
listas,ListaSimpleSinCola,addBefore,final_nodo_prelocalizado,20260931,10,200,10,60.0,62.625,63.75,67.5,104.5,4.875,68.85
listas,ListaSimpleSinCola,addBefore,final_nodo_prelocalizado,20261021,100,200,10,120.5,127.25,136.25,137.25,150.5,10.0,133.55
listas,ListaSimpleSinCola,addBefore,final_nodo_prelocalizado,20261921,1000,100,10,1118.0,1130.5,1134.0,1136.75,1146.0,6.25,1132.9
listas,ListaSimpleSinCola,addBefore,final_nodo_prelocalizado,20270921,10000,20,10,10015.0,10071.25,10150.0,10247.5,10470.0,176.25,10178.0
listas,ListaSimpleSinCola,addBefore,final_nodo_prelocalizado,20360921,100000,20,10,101475.0,103637.5,103965.0,104603.75,106450.0,966.25,103997.0
listas,ListaDobleConCola,addBefore,inicio_nodo_prelocalizado,20260931,10,200,10,116.0,117.625,128.25,133.875,144.0,16.25,127.05
listas,ListaDobleConCola,addBefore,inicio_nodo_prelocalizado,20261021,100,200,10,27.0,27.625,28.5,29.0,30.0,1.375,28.45
listas,ListaDobleConCola,addBefore,inicio_nodo_prelocalizado,20261921,1000,100,10,22.0,25.0,25.5,26.0,26.0,1.0,25.1
listas,ListaDobleConCola,addBefore,inicio_nodo_prelocalizado,20270921,10000,20,10,0.0,15.0,35.0,42.5,50.0,27.5,29.5
listas,ListaDobleConCola,addBefore,inicio_nodo_prelocalizado,20360921,100000,20,10,0.0,0.0,0.0,16.25,50.0,16.25,12.5
listas,ListaDobleSinCola,addBefore,inicio_nodo_prelocalizado,20260931,10,200,10,50.0,51.875,56.25,62.875,149.5,11.0,65.9
listas,ListaDobleSinCola,addBefore,inicio_nodo_prelocalizado,20261021,100,200,10,24.0,25.25,26.0,26.375,37.0,1.125,26.85
listas,ListaDobleSinCola,addBefore,inicio_nodo_prelocalizado,20261921,1000,100,10,17.0,20.0,25.0,26.75,29.0,6.75,23.6
listas,ListaDobleSinCola,addBefore,inicio_nodo_prelocalizado,20270921,10000,20,10,0.0,0.0,17.5,27.5,35.0,27.5,15.0
listas,ListaDobleSinCola,addBefore,inicio_nodo_prelocalizado,20360921,100000,20,10,0.0,27.5,42.5,50.0,50.0,22.5,34.5
listas,ListaSimpleConCola,addBefore,inicio_nodo_prelocalizado,20260931,10,200,10,95.0,96.5,104.75,116.875,162.5,20.375,113.35
listas,ListaSimpleConCola,addBefore,inicio_nodo_prelocalizado,20261021,100,200,10,25.0,25.625,26.0,32.875,40.0,7.25,29.15
listas,ListaSimpleConCola,addBefore,inicio_nodo_prelocalizado,20261921,1000,100,10,4.0,24.0,33.0,38.75,46.0,14.75,30.4
listas,ListaSimpleConCola,addBefore,inicio_nodo_prelocalizado,20270921,10000,20,10,15.0,20.0,25.0,37.5,95.0,17.5,33.5
listas,ListaSimpleConCola,addBefore,inicio_nodo_prelocalizado,20360921,100000,20,10,0.0,15.0,45.0,53.75,60.0,38.75,36.5
listas,ListaSimpleSinCola,addBefore,inicio_nodo_prelocalizado,20260931,10,200,10,50.5,51.625,75.5,103.875,118.5,52.25,79.65
listas,ListaSimpleSinCola,addBefore,inicio_nodo_prelocalizado,20261021,100,200,10,24.5,25.0,26.0,26.875,27.5,1.875,25.95
listas,ListaSimpleSinCola,addBefore,inicio_nodo_prelocalizado,20261921,1000,100,10,17.0,20.75,25.0,28.75,33.0,8.0,25.1
listas,ListaSimpleSinCola,addBefore,inicio_nodo_prelocalizado,20270921,10000,20,10,15.0,20.0,22.5,28.75,35.0,8.75,24.0
listas,ListaSimpleSinCola,addBefore,inicio_nodo_prelocalizado,20360921,100000,20,10,15.0,20.0,27.5,43.75,45.0,23.75,30.0
listas,ListaDobleConCola,addBefore,medio_nodo_prelocalizado,20260931,10,200,10,58.0,62.375,75.25,113.625,139.5,51.25,89.05
listas,ListaDobleConCola,addBefore,medio_nodo_prelocalizado,20261021,100,200,10,25.0,28.125,29.25,30.875,33.0,2.75,29.3
listas,ListaDobleConCola,addBefore,medio_nodo_prelocalizado,20261921,1000,100,10,22.0,24.0,25.5,27.0,27.0,3.0,25.2
listas,ListaDobleConCola,addBefore,medio_nodo_prelocalizado,20270921,10000,20,10,10.0,16.25,22.5,28.75,30.0,12.5,21.5
listas,ListaDobleConCola,addBefore,medio_nodo_prelocalizado,20360921,100000,20,10,20.0,20.0,25.0,28.75,35.0,8.75,25.0
listas,ListaDobleSinCola,addBefore,medio_nodo_prelocalizado,20260931,10,200,10,27.0,30.625,31.75,40.375,95.0,9.75,40.75
listas,ListaDobleSinCola,addBefore,medio_nodo_prelocalizado,20261021,100,200,10,24.0,25.75,27.5,35.375,82.0,9.625,34.75
listas,ListaDobleSinCola,addBefore,medio_nodo_prelocalizado,20261921,1000,100,10,13.0,21.25,23.5,24.0,62.0,2.75,27.0
listas,ListaDobleSinCola,addBefore,medio_nodo_prelocalizado,20270921,10000,20,10,15.0,20.0,20.0,25.0,30.0,5.0,22.0
listas,ListaDobleSinCola,addBefore,medio_nodo_prelocalizado,20360921,100000,20,10,20.0,22.5,30.0,33.75,55.0,11.25,31.5
listas,ListaSimpleConCola,addBefore,medio_nodo_prelocalizado,20260931,10,200,10,63.0,153.75,158.5,160.75,175.5,7.0,141.45
listas,ListaSimpleConCola,addBefore,medio_nodo_prelocalizado,20261021,100,200,10,66.0,68.625,69.5,70.875,81.5,2.25,70.4
listas,ListaSimpleConCola,addBefore,medio_nodo_prelocalizado,20261921,1000,100,10,533.0,536.0,551.0,568.75,589.0,32.75,553.2
listas,ListaSimpleConCola,addBefore,medio_nodo_prelocalizado,20270921,10000,20,10,5035.0,5050.0,5082.5,5118.75,5320.0,68.75,5108.0
listas,ListaSimpleConCola,addBefore,medio_nodo_prelocalizado,20360921,100000,20,10,51615.0,51851.25,52210.0,52391.25,52750.0,540.0,52159.0
listas,ListaSimpleSinCola,addBefore,medio_nodo_prelocalizado,20260931,10,200,10,56.0,57.75,60.25,63.375,78.5,5.625,62.75
listas,ListaSimpleSinCola,addBefore,medio_nodo_prelocalizado,20261021,100,200,10,71.0,71.625,72.75,76.0,93.5,4.375,75.25
listas,ListaSimpleSinCola,addBefore,medio_nodo_prelocalizado,20261921,1000,100,10,548.0,555.25,560.5,565.75,576.0,10.5,561.0
listas,ListaSimpleSinCola,addBefore,medio_nodo_prelocalizado,20270921,10000,20,10,5025.0,5037.5,5052.5,5131.25,5225.0,93.75,5088.0
listas,ListaSimpleSinCola,addBefore,medio_nodo_prelocalizado,20360921,100000,20,10,50895.0,51252.5,51525.0,52647.5,53085.0,1395.0,51876.0
listas,ListaDobleConCola,erase,final_nodo_prelocalizado,20260931,10,200,10,23.0,28.25,29.5,30.375,76.0,2.125,33.25
listas,ListaDobleConCola,erase,final_nodo_prelocalizado,20261021,100,200,10,24.0,24.125,25.25,25.875,28.0,1.75,25.3
listas,ListaDobleConCola,erase,final_nodo_prelocalizado,20261921,1000,100,10,21.0,23.25,24.5,26.0,28.0,2.75,24.5
listas,ListaDobleConCola,erase,final_nodo_prelocalizado,20270921,10000,20,10,10.0,20.0,25.0,28.75,35.0,8.75,23.5
listas,ListaDobleConCola,erase,final_nodo_prelocalizado,20360921,100000,20,10,15.0,20.0,25.0,33.75,70.0,13.75,29.5
listas,ListaDobleSinCola,erase,final_nodo_prelocalizado,20260931,10,200,10,23.0,25.625,26.5,27.0,28.0,1.375,26.2
listas,ListaDobleSinCola,erase,final_nodo_prelocalizado,20261021,100,200,10,21.5,22.625,23.75,24.5,48.0,1.875,25.95
listas,ListaDobleSinCola,erase,final_nodo_prelocalizado,20261921,1000,100,10,21.0,22.0,24.0,24.75,27.0,2.75,23.7
listas,ListaDobleSinCola,erase,final_nodo_prelocalizado,20270921,10000,20,10,15.0,26.25,30.0,33.75,40.0,7.5,29.0
listas,ListaDobleSinCola,erase,final_nodo_prelocalizado,20360921,100000,20,10,10.0,25.0,30.0,42.5,50.0,17.5,31.0
listas,ListaSimpleConCola,erase,final_nodo_prelocalizado,20260931,10,200,10,54.5,57.5,58.5,59.0,64.5,1.5,58.8
listas,ListaSimpleConCola,erase,final_nodo_prelocalizado,20261021,100,200,10,117.0,120.0,123.25,124.75,135.0,4.75,123.25
listas,ListaSimpleConCola,erase,final_nodo_prelocalizado,20261921,1000,100,10,1063.0,1066.25,1067.0,1073.25,1097.0,7.0,1071.1
listas,ListaSimpleConCola,erase,final_nodo_prelocalizado,20270921,10000,20,10,10020.0,10031.25,10132.5,10170.0,10245.0,138.75,10113.0
listas,ListaSimpleConCola,erase,final_nodo_prelocalizado,20360921,100000,20,10,102930.0,104200.0,106185.0,106838.75,111985.0,2638.75,106121.5
listas,ListaSimpleSinCola,erase,final_nodo_prelocalizado,20260931,10,200,10,48.5,50.75,55.75,64.0,610.5,13.25,111.85
listas,ListaSimpleSinCola,erase,final_nodo_prelocalizado,20261021,100,200,10,120.0,122.625,125.75,128.5,441.5,5.875,157.55
listas,ListaSimpleSinCola,erase,final_nodo_prelocalizado,20261921,1000,100,10,1079.0,1080.5,1087.5,1099.25,1125.0,18.75,1092.9
listas,ListaSimpleSinCola,erase,final_nodo_prelocalizado,20270921,10000,20,10,9975.0,9990.0,10000.0,10181.25,11290.0,191.25,10175.0
listas,ListaSimpleSinCola,erase,final_nodo_prelocalizado,20360921,100000,20,10,102680.0,103718.75,105142.5,106048.75,109990.0,2330.0,105443.0
listas,ListaDobleConCola,erase,inicio_nodo_prelocalizado,20260931,10,200,10,64.0,68.375,80.0,98.625,113.0,30.25,83.9
listas,ListaDobleConCola,erase,inicio_nodo_prelocalizado,20261021,100,200,10,22.5,23.875,25.25,25.875,26.5,2.0,24.85
